Date,SP,FAMILY,SUBFAMILY,TRIBE,GENUS,SPECIES,COUNT_#,% HOW CONFIDENT WE ARE,NOTES
9/22/2023,CP5,Noctuidae,Noctuinae,,Abagrotis,alternata,1,,
9/22/2023,CP5,Noctuidae,Noctuniae,Noctuini,Abagrotis,alternata,1,,
10/6/2023,CP2,Noctuidae,Noctuinae,,Abagrotis,alternata,1,,
5/7/2023,CP5,Noctuidae,,,Achatia ,distincta,1,,
10/4/2023,NB5,Tortricidae,Tortricinae,,Acleris,celiana,1,,
10/6/2023,CP5,Tortricidae,Tortricinae,,Acleris,celiana,1,,
5/7/2023,CP5,Tortricidae ,,,Acleris,chalybeana,1,,
10/6/2023,CP5,Tortricidae,Tortricinae,,Acleris,forbesana,1,,
8/1/2023,NB5,Tortricidae,Tortricinae,,Acleris,forskaleana,1,,
10/4/2023,NB5,Tortricidae,Tortricinae,,Acleris,fragariana,1,,
9/26/2023,NB5,Tortricidae,Tortricinae,,Acleris,nigrolinea,1,,
10/6/2023,CP4,Tortricidae,Tortricinae,,Acleris,nigrolinea,1,,
10/6/2023,CP5,Tortricidae,Tortricinae,,Acleris,nigrolinea,1,,
9/26/2023,NB5,Tortricidae,Tortricinae,,Acleris,oxycoccana,1,80,
10/4/2023,NB1,Tortricidae,Tortricinae,,Acleris,placidana,1,,
10/4/2023,NB1,Tortricidae,Tortricinae,,Acleris,robinsoniana,1,,
10/6/2023,CP5,Tortricidae,Tortricinae,,Acleris,robinsoniana,1,,
10/6/2023,CP7,Tortricidae,Tortricinae,,Acleris,robinsoniana,1,,
5/7/2023,CP2,Tortricidae,,,Acleris,,2,,
5/7/2023,CP3,Tortricidae,,,Acleris,,2,,
5/7/2023,CP3,Tortricidae,,,Acleris,,2,,
6/14/2023,NB5,Tortricidae,,,Acleris,,2,,
10/5/2023,PS1,Tortricidae,Olethreutinae,,Acleris,,1,,
10/5/2023,PS3,Tortricidae,Olethreutinae,,Acleris,,1,,
10/6/2023,CP3,Tortricidae,Tortricinae,,Acleris,,2,,unknown sp.
10/6/2023,CP4,Tortricidae,Tortricinae,,Acleris,,2,,unknown sp.
10/6/2023,CP5,Tortricidae,Tortricinae,,Acleris,,1,,unknown sp.
5/7/2023,CP5,Tortricidae ,,,Acleris,,1,,
5/9/2023,PS2,Tortricidae ,,,Acleris ,chalybeana,2,,
5/9/2023,PS2,Tortricidae,,,Acleris ,flavivittana,1,,
5/7/2023,CP2,Tortricidae,,,Acleris ,,1,,chalybeana or hastiana
6/21/2023,PS4,Pyralidae,Phycitinae,,Acrobasis,tricolorella,1,,
7/25/2023,NB5,Noctuidae,Acronictinae,,Acronicta,impressa,1,80,Acronicta is difficult
8/2/2023,PS2,Noctuidae,Acronictinae,,Acronicta,impressa,1,,
6/22/2023,CP5,Noctuidae,Acronictinae,,Acronicta,increta,1,,
7/18/2023,NB2,Noctuidae,Acronictinae,,Acronicta,insita,1,,
7/25/2023,NB5,Noctuidae,Acronictinae,,Acronicta,insita,1,,
7/18/2023,NB1,Noctuidae,Acronictinae,,Acronicta,noctivaga,2,,
8/2/2023,PS1,Noctuidae,Acronictinae,,Acronicta,noctivaga,1,,
7/5/2023,NB5,Noctuidae,Acronictinae,,Acronicta,oblinita,1,,
5/26/2023,PS4,Noctuidae,,,Acronicta,,3,,maybe Grey dagger?
6/15/2023,PS2,Noctuidae,,,Acronicta,,1,,
6/20/2023,NB1,Noctuidae,,,Acronicta,,1,,maybe Gray dagger moth
6/15/2023,PS5,Noctuidae ,,,Acronicta,,1,,Dagger Moth Sp
9/26/2023,NB1,Tortricidae,Tortricinae,,Aethes,atomosana,1,80,
9/26/2023,NB1,Tortricidae,Tortricinae,Cochylini,Aethes,atomosana,1,,
7/20/2023,CP4,Pyralidae,Pyralinae,,Aglossa,cuprina,1,,
7/19/2023,PS5,Pyralidae,Pyralinae,,Aglossa,,1,,badly worn
9/22/2023,CP7,Noctuidae,Noctuinae,,Agnorisma,bugrai,1,,
6/20/2023,NB3,Depressariidae,,,Agonopterix,curvilineella,1,,
9/22/2023,CP5,Depressariidae,Depressariinae,,Agonopterix,,1,,
6/29/2023,NB2,Crambidae,Crambinae,,Agriphila,vulgivagellus,1,,
9/14/2023,PS4,Noctuidae,Noctuniae,Noctuini,Agrotis,gladiaria,2,,
9/15/2023,CP7,Noctuidae,Noctuniae,Noctuini,Agrotis,gladiaria,1,,
