Long,Lat,globalid,CreationDate,Creator,EditDate,Editor,date_and_time,site_location,sampling_point,untitlesd_question_31_other,presence,how_many_caterpillars,if_found_caterpillar_describe_i,caterpillar_id,caterpillar_collected,field_21_other,field_26_5,field_26_1,field_26_2,field_26_0,collected_leaves,collected_leaves_other,photone_light_levels_foraging_p,photone_light_levels_adjacent_p,total_time_search_effort,field_37,field_38,any_notes,photone_light_levels_fixed_edge,photone_light_levels_fixed_alva,if_no_caterpillar_photone_light
-79.05386845,44.6950303,{0E195A79-CDF8-4A2C-AC62-909100E9CFEE},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/5/2023 16:02,North Bear,NB1,,"Caterpillar,Leaf",,Small dark baby made a tent,Eastern Tent caterpiller,Yes,,NA,3,3,3,"Caterpillar_foraging,Caterpillar_adjacent,Fixed_edge",,41,30,19,3.28,1.92,"Fixed alvar  budding, fixed edge leaves",,,
-79.05150991,44.69640996,{74D7E019-E1BC-4C15-B238-AD525E205C34},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/5/2023 17:35,North Bear,NB2,,Leaf,,,,,,,,3,3,"Fixed_edge,Fixed_alvar",,,,,,,Tent caterpillar in alvar fixed plant nb2,,,
-79.04883384,44.68653213,{5DC40244-3F02-43F9-92F0-1237B539EF50},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/5/2023 19:13,North Bear,NB4,,"Leaf,Caterpillar",,Tent eastern,Eastern tent,Yes,,3,3,3,3,"Fixed_edge,Fixed_alvar,Caterpillar_foraging,Caterpillar_adjacent",,14,109,1,2.85,45.5,"New spot, ALDER CAT FORAG LOOK DIFF",,,
-79.05209643,44.68525792,{CAF244EE-7764-4296-A275-EF6ED473E349},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/5/2023 19:34,North Bear,NB5,,Leaf,,,,,,3,3,,,"Fixed_edge,Fixed_alvar",,,,,,,Black stuff on shrub new soot by pzarking soit,,,
-79.05021417,44.69836985,{04DD3E6C-3E35-4871-B31D-D4C8939C79A2},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/6/2023 13:30,North Bear,NB3,,"Leaf,Caterpillar",,Eastern tent,Eastern tent,Yes,,NA,NA,3,3,"Caterpillar_foraging,Caterpillar_adjacent",,12,7.2,7.6,0.84,1.42,"Fixed edge And Fixed alvar leaf still growing, shrubs unkowm
, always north canopy cover",,,
-79.06066456,44.65019784,{350376B1-ADFF-44D0-B33F-8F17B1388D88},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,10:00.0,Carden PP,CP6,,Leaf,,,,No,,3,3,NA,NA,"Fixed_edge,Fixed_alvar",,,,10,,,,,,
-79.05911108,44.65248413,{D6BBC2CE-A24F-4019-9CCE-564467D793F5},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/6/2023 17:56,Carden PP,CP7,,Leaf,,,,,,3,3,,,"Fixed_edge,Fixed_alvar",,,,10,,,Shrubz different,,,
-79.06141226,44.62464021,{8184F5DA-DAF2-4244-93FD-196AB2B08BC2},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/6/2023 18:19,Carden PP,CP5,,Leaf,,,,,,3,3,NA,NA,"Fixed_edge,Fixed_alvar",,,,10,,,Fixed plants taken yesterday,,,
-79.06341297,44.62277651,{51D89E83-8E97-48F8-A0DC-47F5EC8A24FA},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,42:00.0,Carden PP,CP4,,Leaf,,,,,,3,3,,,"Fixed_edge,Fixed_alvar",,,,10,,,Moved kight trap bulb not wpporkinh,,,
-79.06584912,44.62056246,{A8B60689-AA6A-4F49-AE7E-7393682CE272},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/7/2023 15:22,Carden PP,CP3,,Leaf,,,,,,3,NA,NA,NA,Fixed_alvar,,,,10,,,,,,
-79.06473506,44.61867921,{EB4E9F0A-EA6A-4F62-86E2-76FCC90665CE},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/7/2023 16:08,Carden PP,CP2,,Leaf,,,,,,3,3,,,"Fixed_edge,Fixed_alvar",,,,10,,,,,,
-79.09049174,44.64828535,{29FD3D20-0C3D-4409-A9F0-2AB29AF6B8A9},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,26:00.0,Prairie Smoke,PS4,,"Caterpillar,Leaf",,Tent,Eastern tent,Yes,,3,3,3,NA,"Fixed_alvar,Fixed_edge,Caterpillar_foraging",,18,48,3.7,0.75,20,"Trembking aspwn ef and sweet mewdow , north direction",,,
-79.08927401,44.65038717,{54EE32FA-C89D-41E5-B4C2-98FA45C7F4DD},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/8/2023 15:25,Prairie Smoke,PS5,,Leaf,,,,,,3,3,,,"Fixed_edge,Fixed_alvar",,,,10,,,,,,
-79.09258687,44.64642656,{CD3287D6-B3F3-49A8-8124-B47AC398E68D},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/8/2023 15:41,Prairie Smoke,PS3,,"Leaf,Caterpillar",,Tent caterpillar,Eastern tent,Yes,,3,3,3,NA,"Fixed_edge,Fixed_alvar,Caterpillar_foraging",,145,750,9.2,47.6,38.5,,,,
-79.09155133,44.64353669,{BB9F52EB-1F94-4C04-A052-F4F77EDF1FE1},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/8/2023 17:09,Prairie Smoke,PS2,,Leaf,,,,,,3,3,,,"Fixed_edge,Fixed_alvar",,,,10,,,,,,
-79.08694349,44.64765002,{78CF1436-735C-4FCE-96B8-0A669CCB56BF},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/8/2023 17:57,Prairie Smoke,PS1,,Leaf,,,,,,3,3,NA,NA,"Fixed_edge,Fixed_alvar",,,,10,,,,,,
-79.05204921,44.68525023,{0BB44600-027E-4006-A9DB-92A7A9C5FF04},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/14/2023 14:54,North Bear,NB5,,"Caterpillar,Leaf",,,eastern tent,Yes,,,,,,"Edge_fixed_(EF),Alvar_fixed_(AF),Caterpillar_foraging_(CAT_F),Caterpillar_adjacent_(CAT_ADJ)",,,,0.2,27.5,8.87,caterpillars are foraging along ADJACENT PLANT too,8.99,34.7,
-79.05906134,44.65240258,{CE73F6A1-3291-4231-9CCB-E3BE41FD3A84},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,26:00.0,Carden PP,CP7,,"Leaf,Caterpillar",,,eastern tent,Yes,,,,,,"Edge_fixed_(EF),Alvar_fixed_(AF),Caterpillar_foraging_(CAT_F),Caterpillar_adjacent_(CAT_ADJ)",,,,5,25.3,67.6,,70,68.5,
-79.08694563,44.64761991,{5F7CED1D-7556-4AE4-B4BD-447E903A9063},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,12:00.0,Prairie Smoke,PS1,,Leaf,,,,No,,,,,,"Edge_fixed_(EF),Alvar_fixed_(AF),other",random,,,10,,,,52.5,46.8,38.8
-79.09240281,44.64653101,{F36EC441-17FD-40FC-8133-21681E98018E},37:23.6,Richard.Feldman@ontario.ca_mnrf,37:23.6,Richard.Feldman@ontario.ca_mnrf,5/16/2023 16:51,Prairie Smoke,PS3,,"Leaf,Caterpillar",,,eastern tent,Yes,,,,,,"Edge_fixed_(EF),Alvar_fixed_(AF),Caterpillar_foraging_(CAT_F),Caterpillar_adjacent_(CAT_ADJ)",,,,7.6,26,28.5,,21.5,55.2,
