Date,Time,SP,Type,Family,Genus,Species,Common_name,*NEED TO CONFIRM,Notes
05/05/2023,15:36,NB5,EF,,Prunus,serotina,Black cherry ,Y,previously named alder
05/05/2023,15:11,NB4,EF,,Prunus,,,Y,previously named alder - changed shrub after may 14
05/05/2023,15:15,NB4,AF,,Prunus,,,Y,previously named alder
05/05/2023,12:33,NB1,CAT.F,,Prunus,,,Y,previously named alder
05/05/2023,12:53,NB1,AF,,Crataegus,,Hawthorns,,
05/05/2023,12:42,NB1,CAT.ADJ,,Prunus,,,Y,previously named alder
05/05/2023,15:40,NB5,AF,,Prunus,,,Y,previously named alder
05/05/2023,13:23,NB2,EF,,Prunus,serotina,Black cherry ,Y,previously named alder
05/05/2023,13:36,NB2,AF,,Viburnum,rafinesquenum,Downy arrowood,N,previously named alder
05/06/2023,9:50,NB3,CAT.ADJ,,Prunus,,,Y,previously named alder
05/06/2023,14:43,CP5,AF,,Crataegus,chrysocarpa,fireberry hawthorn,,
05/06/2023,14:44,CP5,EF,,Crataegus,chrysocarpa,fireberry hawthorn,,
05/06/2023,11:00,NB4,CAT.ADJ,,Prunus,,,Y,previously named alder
05/06/2023,13:48,CP7,AF,,Prunus,virginiana,chokecherry,,previously named alder
05/06/2023,13:46,Y,EF,,Lonicera,,Honeysuckles,Y,from memory but should confirm
05/06/2023,9:45,NB3,CAT.F,,Prunus,,,Y,previously named alder
05/06/2023,13:22,CP6,AF,,Salix,bebbiana ,Bebb's willow,Y,inat
05/06/2023,13:18,CP6,EF,,Populus,tremuloides,Trembling_Aspen,,
05/06/2023,11:00,NB4,CAT.F,,Prunus,,,Y,previously named alder
05/07/2023,11:59,CP2,EF,,Lonicera,morrowii,Marrows honeysuckle,Y,inat
05/07/2023,12:00,CP2,AF,,Ulmus,,Elm,,
05/07/2023,11:24,CP3,AF,,Prunus,,,Y,"inat - early budding might be wrong, could be populus should confirm next week or next after"
05/07/2023,10:58,CP4,AF,,Crataegus,,Hawthorns,Y,
05/07/2023,10:53,CP4,EF,,Populus,tremuloides,Trembling_Aspen,,
05/08/2023,13:12,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,
05/08/2023,11:53,PS3,EF,,Crataegus,chrysocarpa,Hawthorns (fireberry),,
05/08/2023,13:56,PS1,AF,,Populus,balsamifera,Balsam_Poplar,,confirmed by someone on inat
05/08/2023,13:32,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,confirmed by baxter
05/08/2023,10:47,PS4,CAT.F,,Prunus,,Black cherry ,Y,
05/08/2023,13:54,PS1,EF,,Populus,tremuloides,Trembling_Aspen,,
05/08/2023,12:12,PS3,CAT.ADJ,,Prunus,,,Y,
05/08/2023,11:22,PS5,AF,,Ulmus,americana,American elm,Y,previously american hornbeam
05/08/2023,11:17,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/08/2023,13:35,PS2,AF,,Spiraea,alba,white meadowsweet,,confirmed by baxter
05/08/2023,10:37,PS4,EF,,Populus,tremuloides,Trembling_Aspen,,
05/08/2023,10:37,PS4,AF,,Spiraea,alba,white meadowsweet,,
05/08/2023,12:10,PS3,CAT.F,,Prunus,,,Y,
05/08/2023,12:00,PS3,AF,,Prunus,,,Y,"cherries, etc"
05/14/2023,12:32,NB1,EF,,Prunus,serotina,Black cherry ,Y,*changed shrub after may 14
05/14/2023,12:35,NB1,AF,,Crataegus,chrysocarpa,fireberry hawthorn,,
05/14/2023,11:52,NB4,CAT.ADJ,,Acer,saccharum,Sugar_maple,,
05/14/2023,10:57,NB5,EF,,Prunus,serotina,Black cherry ,,
05/14/2023,11:00,NB5,AF,,Prunus,,,Y,
05/14/2023,12:46,NB1,CAT.ADJ,,Prunus,,,Y,
05/14/2023,12:46,NB1,CAT.F,,Prunus,,,Y,
05/14/2023,11:35,NB4,AF,,Prunus,,,Y,pink and green leaf
05/14/2023,13:40,NB2,CAT.F,,Prunus,,,Y,
05/14/2023,13:36,NB2,EF,,Prunus,serotina,Black cherry ,,
05/14/2023,11:32,NB4,EF,,Prunus,,,Y,red leaf - changed shrub after this point
05/14/2023,13:36,NB2,AF,,Viburnum,rafinesquenum,Downy arrowood,Y,prunus or this?????
05/14/2023,11:14,NB5,CAT.ADJ,,Prunus,,,Y,cat. also foraged on this plant
05/14/2023,14:23,NB3,CAT.ADJ,,Prunus,,,Y,
05/14/2023,14:20,NB3,CAT.F,,Prunus,,,Y,
05/14/2023,14:04,NB3,EF,,Prunus,virginiana,chokecherry,,
05/14/2023,14:04,NB3,AF,,Acer,rubrum,Red maple,Y,just changed to maple this week
05/14/2023,13:42,NB2,CAT.ADJ,,Populus,balsamifera,Balsam_Poplar,Y,
05/15/2023,12:35,CP4,EF,,Populus,tremuloides,Trembling_Aspen,,
05/15/2023,12:58,CP4,CAT.ADJ,,Cormus,sericea,Dogwood,Y,
05/15/2023,13:54,CP3,EF,,Populus,tremuloides,Trembling_Aspen,,
05/15/2023,12:39,CP4,AF,,Crataegus,,hawthorn or swamp birch,Y,
05/15/2023,12:49,CP4,CAT.F,,Ulmus,pumila,Elm,,
05/15/2023,12:50,CP6,AF,,Salix,bebbiana ,Bebb's willow,Y,
05/15/2023,12:50,CP6,AF,,Salix,bebbiana ,Bebb's willow,Y,
05/15/2023,13:02,CP6,CAT.F,,Prunus,,,,Someone on inat identified this!
05/15/2023,1:40,CP7,CAT.F,,Prunus,,,Y,
05/15/2023,12:51,CP6,EF,,Populus,tremuloides,Trembling_Aspen,,
05/15/2023,13:27,PS4,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
05/15/2023,13:29,CP7,AF,,Prunus,virginiana,chokecherry,Y,
05/15/2023,13:29,CP7,EF,,Lonicera,morrowii,morrow honeysuckle,Y,
05/15/2023,13:33,CP5,RANDOM,,Crataegus,chrysocarpa,Hawthorns (fireberry),Y,
05/15/2023,13:56,CP3,AF,,Populus,tremuloides,Trembling_Aspen,Y,confirm next week
05/15/2023,14:07,CP3,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
05/15/2023,13:21,CP5,AF,,Crataegus,chrysocarpa,fireberry hawthorn,,
05/15/2023,13:17,CP5,EF,,Crataegus,chrysocarpa,fireberry hawthorn,,
05/15/2023,13:40,-,CAT.ADJ,,Lonicera,,Honeysuckle,Y,probably NB 
05/15/2023,13:09,CP6,CAT.ADJ,,Lonicera,,Honeysuckle,Y,
05/16/2023,13:38,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,13:01,PS3,CAT.F,,Prunus,,,Y,
05/16/2023,13:04,PS3,CAT.ADJ,,Prunus,,,Y,
05/16/2023,13:49,PS5,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,14:30,PS2,RANDOM,,Salix,,Willows,Y,
05/16/2023,12:24,PS1,AF,,Populus,balsamifera,Balsam_Poplar,,
05/16/2023,12:15,PS1,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,14:15,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,confirmed by baxter inat
05/16/2023,14:20,PS2,AF,,Spiraea,alba,white meadowsweet,,confirmed by baxter inat
05/16/2023,13:38,PS5,AF,,Ulmus,americana,American elm,,
05/16/2023,14:43,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,14:43,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,13:13,PS4,EF,,Populus,tremuloides,Trembling_Aspen,Y,
05/16/2023,13:17,PS4,AF,,Spiraea,alba,white meadowsweet,,
05/16/2023,12:57,PS3,EF,,Crataegus,chrysocarpa,Hawthorns (fireberry),Y,
05/16/2023,12:52,PS3,AF,,Prunus,,,Y,
05/16/2023,13:27,PS4,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,12:39,PS1,RANDOM,,Ulmus,,Elm,Y,
05/23/2023,13:26,NB1,CAT.ADJ,,Prunus,,,Y,
05/23/2023,13:50,NB2,RANDOM,,Viburnums,,downy arrowood,Y,"original SP is AF but caterpillars ate all the leaves, so sampled 5 m away"
05/23/2023,13:42,NB2,EF,,Prunus,,,Y,black
05/23/2023,13:25,NB1,CAT.F,,Prunus,,,Y,black
05/23/2023,13:08,NB1,EF,,Prunus,,,Y,black cherry
05/23/2023,13:15,NB1,AF,,Crataegus,,Hawthorns (fireberry),Y,need confirm
05/23/2023,14:32,NB3,CAT.F,,Prunus,,,Y,black
05/23/2023,11:04,NB5,EF,,Prunus,,,Y,
