Date,Trap,DLI_Edge,DLI_Alvar,Calculation
5/14/2023 14:54,NB5,8.99,34.7,Time
5/15/2023 17:26,CP7,70,68.5,Time
5/16/2023 16:12,PS1,52.5,46.8,Time
5/16/2023 16:51,PS3,21.5,55.2,Time
5/16/2023 17:19,PS4,19.7,21.8,Time
5/15/2023 16:36,CP4,13.7,59.1,Time
5/15/2023 17:12,CP5,56.7,11.5,Time
5/15/2023 17:50,CP3,62.5,73.6,Time
5/14/2023 14:54,NB5,8.99,34.7,Time
5/14/2023 15:30,NB4,42.2,41.09,Time
5/14/2023 16:36,NB1,45.2,69.5,Time
5/14/2023 17:35,NB2,67.8,70.7,Time
5/14/2023 18:06,NB3,77.8,61.2,Time
5/15/2023 16:48,CP6,64.2,67.7,Time
5/16/2023 17:19,PS4,19.7,21.8,Time
5/16/2023 17:40,PS5,12.9,23,Time
5/16/2023 18:15,PS2,16.4,18.7,Time
5/24/2023 18:08,CP6,91.3,96,Time
5/24/2023 18:44,CP7,86,82.7,Time
5/25/2023 16:35,PS1,87.8,87.7,Time
5/25/2023 17:28,PS2,96.6,95.7,Time
5/25/2023 18:36,PS3,5.05,95.3,Time
5/25/2023 18:48,PS4,6.09,99.3,Time
5/25/2023 19:19,PS5,92.9,53,Time
6/1/2023 12:57,NB5,15,25,Time
6/1/2023 13:39,NB1,3.7,20.1,Time
6/1/2023 14:04,NB2,45.2,,Time
6/1/2023 14:39,NB3,11.7,23,Time
6/2/2023 15:33,PS4,12.5,79.8,Time
6/2/2023 16:12,PS5,79.2,34.9,Time
6/3/2023 15:51,CP6,79.6,80,Time
6/3/2023 16:26,CP7,89.2,85.1,Time
6/14/2023 16:29,PS1,22,17.8,Time
6/14/2023 18:09,PS4,8.49,12.8,Time
6/14/2023 18:35,PS5,7.27,10.9,Time
6/15/2023 14:54,CP5,11.9,6.21,Time
6/15/2023 15:35,CP4,3.26,14.8,Time
6/15/2023 16:08,CP3,17.9,13.2,Time
6/2/2023 15:31,PS3,8.17,87.2,Time
6/2/2023 16:05,PS2,82.5,84.2,Time
6/2/2023 16:37,PS1,82.1,74.9,Time
6/3/2023 15:24,CP5,67.2,6.78,Time
