Date and time,Sampling point,How many moths?,Notes?,Photos,ID'd
5/6/2023,NB1,0,first ever caterpillar,,
5/6/2023,NB2,0,,,
5/6/2023,NB3,3,,x,x
5/6/2023,NB4,4,time is different compared to collection for all of these records this week because made moth survey after the fact,x,x
5/6/2023,NB5,3,wrong time here bc made survey later,x,x
5/7/2023,CP2,57,TOOK TRAP TO PS1,,x
5/7/2023,CP3,37,,,x
5/7/2023,CP4,0,PROBABLY DIDNT TURN ON THIS NIGHT - ADAPTER IS BROKEN - PUT IN OFFICE,,
5/7/2023,CP5,28,,,x
5/7/2023,CP6,5,,,x
5/7/2023,CP7,11,,,x
5/9/2023,PS1,7,,,x
5/9/2023,PS2,15,,,x
5/9/2023,PS3,2,,,x
5/9/2023,PS4,13,,,x
5/9/2023,PS5,8,,,x
5/15/2023,NB1,0,No moths but light works,,
5/15/2023,NB4,3,took trap back,,x
5/15/2023,NB5,0,removed trap to carden,,
5/16/2023,CP3,20,,,x
5/16/2023,CP4,0,adpater on but light not on,,
5/16/2023,CP5,0,trap died over night - wasnt on,,
5/16/2023,CP6,0,trap fell over,x,x
5/16/2023,CP7,21,ton of beetles,,x
5/17/2023,PS1,0,light trap was on overnight ! temp went below zero,,
5/17/2023,PS2,1,light may have died over night,x,x
5/17/2023,PS3,0,light still on!,,
5/17/2023,PS4,0,light on,,
5/24/2023,NB1,45,Time not accurate,,x
5/24/2023,NB2,59,Time not accurate,x,x
5/24/2023,NB3,81,Time not accurate,x,x
5/24/2023,NB4,0,Trap was not set overnight,,
5/24/2023,NB5,95,Time not accurate,x,x
5/25/2023,CP3,0,,,
5/25/2023,CP4,1,,x,x
5/25/2023,CP5,8,,,x
5/25/2023,CP6,0,,,
5/25/2023,CP7,1,,,x
5/26/2023,PS1,0,,,
5/26/2023,PS2,4,,x,x
5/26/2023,PS3,8,,x,x
5/26/2023,PS4,8,,x,x
5/26/2023,PS5,2,,x,x
6/2/2023,NB1,31,,x,x
6/2/2023,NB2,51,all moths,,x
6/2/2023,NB3,50,"collected 50 random in lab, but original # is 129",x,x
6/3/2023,PS1,40,,,x
6/3/2023,PS2,37,,,x
6/3/2023,PS3,28,,,x
6/3/2023,PS4,28,,,x
6/3/2023,PS5,53,,,x
6/4/2023,CP2,50,subsample from 220,,x
6/4/2023,CP3,15,,x,x
6/4/2023,CP4,25,,x,x
6/4/2023,CP5,50,subsample of 179,,x
6/4/2023,CP6,37,,x,x
6/4/2023,CP7,14,,x,x
6/7/2023,PS2,52,,,
6/14/2023,NB1,50,subsample,x,x
6/14/2023,NB1,50,,,
6/14/2023,NB2,50,subsam,x,x
6/14/2023,NB3,50,,x,x
6/14/2023,NB5,50,,x,x
6/15/2023,PS1,53,?,?,?
6/15/2023,PS1,53,sub,x,x
6/15/2023,PS2,50,?,?,?
6/15/2023,PS2,54,sub,x,x
6/15/2023,PS3,17,,x,x
6/15/2023,PS4,36,,x,x
6/15/2023,PS5,24,?,?,?
6/15/2023,PS5,27,,x,x
6/16/2023,CP2,57,Sub,,x
6/16/2023,CP3,53,?,?,?
6/16/2023,CP3,55,sub not sure if duplicate,,x
6/16/2023,CP3,53,,,
6/16/2023,CP4,50,,,x
6/16/2023,CP5,49,sub,,x
6/16/2023,CP6,54,,,x
6/16/2023,CP7,54,,,x
6/20/2023,NB1,35,"lots of caddisflies had to throw out, random subsample",x,x
6/20/2023,NB2,55,?,?,?
6/20/2023,NB2,53,,x,x
6/20/2023,NB3,53,Sub,?,?
6/20/2023,NB3,52,,x,x
6/20/2023,NB5,55,,?,?
6/20/2023,NB5,45,"We accidentally took caddisflies instead of moths for random subsample, so lower numbers",x,x
6/21/2023,PS1,60,,,x
6/21/2023,PS2,56,,x,x
6/21/2023,PS3,118,,x,x
6/21/2023,PS4,50,,,x
6/21/2023,PS5,50,,x,x
6/22/2023,CP2,60,,,x
6/22/2023,CP3,60,,,x
6/22/2023,CP4,60,,,x
6/22/2023,CP5,60,,,x
6/22/2023,CP6,60,,,x
6/22/2023,CP7,60,,,x
6/29/2023,NB1,50,,,x
6/29/2023,NB2,33,,,x
6/29/2023,NB3,57,,,x
6/29/2023,NB5,50,,,x
6/30/2023,PS1,50,Sub,x,x
6/30/2023,PS2,50,,,x
6/30/2023,PS3,50,,,x
6/30/2023,PS4,50,Missing photoset - unrecoverable,,
6/30/2023,PS5,50,Sub,,x
7/5/2023,NB1,0,trap didnt turn on,,
7/5/2023,NB2,51,Sub,?,?
7/5/2023,NB2,61,sub,x,x
7/5/2023,NB3,50,,?,?
7/5/2023,NB3,52,,x,x
7/5/2023,NB5,51,,?,
7/5/2023,NB5,54,sub,x,x
7/6/2023,PS1,53,sub,x,x
7/6/2023,PS2,53,sub,x,x
7/6/2023,PS3,1,"we think it was on but the ethanol dried up overnight, or it wasnt on... not sure but we got one (would be filled with living moths if light was on)",x,x
7/7/2023,CP2,54,,x,x
7/7/2023,CP3,58,,x,x
7/7/2023,CP4,59,,x,x
7/7/2023,CP5,50,trap apparently had no ethyl acetate -- all moths very badly damaged,x,x
7/7/2023,CP6,0,"looks like the trap didnt worl overnight, might be too much water?",,
7/7/2023,CP7,53,,x,x
7/18/2023,NB1,55,,x,x
7/18/2023,NB2,55,,x,x
7/18/2023,NB3,55,,,x
7/18/2023,NB5,55,,,x
7/19/2023,PS2,50,,,x
7/19/2023,PS4,24,,,x
7/19/2023,PS5,42,,,x
7/20/2023,CP3,50,Sub,,x
7/20/2023,CP4,50,Sub,,x
7/20/2023,CP5,50,Sub -no photos unrecoverable,,
7/20/2023,CP6,50,Sub,,x
7/20/2023,CP7,50,Sub,,x
7/25/2023,NB1,10,?,x,x
7/25/2023,NB2,52,Sub,x,x
7/25/2023,NB3,52,Sub,x,x
7/25/2023,NB5,50,Sub,x,x
7/26/2023,PS1,50,Sub,x,
7/26/2023,PS2,50,Sub,x,
7/26/2023,PS3,50,Sub,x,
7/26/2023,PS4,50,Sub,,
7/26/2023,PS5,56,Sub,x,
7/27/2023,CP2,50,Sub,x,
7/27/2023,CP7,50,Sub,x,
8/1/2023,NB1,48,Sub,x,
8/1/2023,NB2,49,Sub,x,
8/1/2023,NB3,58,Sub,x,
8/1/2023,NB5,53,Sub,x,
8/2/2023,PS1,48,Sub,x,
8/2/2023,PS2,31,,x,
8/2/2023,PS3,33,Sub - lots prob smushed,x,
8/2/2023,PS4,39,Sub - lots probably died/smushed,x,
8/2/2023,PS5,0,"? not sure if trap was set, opened trap and saw wires frayed took trap back with us",,
8/3/2023,CP2,54,Sub,,
8/3/2023,CP3,54,Sub,,
8/3/2023,CP4,54,Sub,,
8/3/2023,CP6,54,Sub,,
8/3/2023,CP7,53,Sub,,
8/16/2023,NB1,60,Sub,x,
8/16/2023,NB2,62,Sub,x,
8/16/2023,NB3,55,Sub,,
8/16/2023,NB5,50,Sub,x,
8/17/2023,PS1,53,Sub,x,
8/17/2023,PS2,50,Sub,,
8/17/2023,PS3,56,Sub,x,
8/17/2023,PS4,50,Sub,,
8/18/2023,CP3,50,Under rain tarp!!,,
8/18/2023,CP4,50,Underneath a rain tarp!!,,
8/18/2023,CP5,0,"It rained and the tarp covered the moth trap so no light ,moths probably couldnt see",,
8/22/2023,NB1,50,Sub,,
8/22/2023,NB2,50,Sub,,
8/22/2023,NB3,50,Sub,,
8/22/2023,NB5,50,Sub,,
8/23/2023,PS1,50,Sub,,
8/23/2023,PS2,53,Sub,,
8/23/2023,PS3,50,Sub,,
8/23/2023,PS4,50,Sub,,
8/24/2023,CP3,50,Sub,,
8/24/2023,CP4,50,Sub,,
8/24/2023,CP7,50,Sub. Very alive moths - dust everywhere,,
9/12/2023,NB1,52,Sub,x,
9/12/2023,NB2,49,Sub,x,
9/12/2023,NB3,49,Sub,x,
9/12/2023,NB5,50,Sub,x,
9/14/2023,PS1,0,Trap was set but knocked over,,
9/14/2023,PS2,30,,x,
9/14/2023,PS3,11,,x,
9/14/2023,PS4,23,,x,
9/15/2023,CP3,0,None caught but set up yesterday,,
9/15/2023,CP4,0,Battery adapters melted and made small fire in the field,,
9/15/2023,CP5,8,,x,
9/15/2023,CP7,5,,x,
9/20/2023,NB1,1,,x,x
9/20/2023,NB2,1,,x,x
9/20/2023,NB3,2,,x,x
9/20/2023,NB5,1,,x,x
9/21/2023,PS1,12,,x,x
9/21/2023,PS2,3,,x,x
9/21/2023,PS3,7,,x,x
9/21/2023,PS4,10,,x,x
9/22/2023,CP2,32,,x,x
9/22/2023,CP3,14,,x,x
9/22/2023,CP4,25,,x,x
9/22/2023,CP5,45,,x,x
9/22/2023,CP7,36,,x,x
9/26/2023,NB1,31,,x,x
9/26/2023,NB2,49,,x,x
9/26/2023,NB3,13,,x,x
9/26/2023,NB5,25,,x,x
9/27/2023,PS1,9,,x,x
9/27/2023,PS2,4,,x,x
9/27/2023,PS3,1,,x,x
9/27/2023,PS4,3,,x,x
9/28/2023,CP3,6,,x,x
9/28/2023,CP4,4,,x,x
9/28/2023,CP5,3,,x,
10/4/2023,NB1,40,,x,x
10/4/2023,NB2,40,,x,x
10/4/2023,NB3,39,,x,x
10/4/2023,NB5,25,,x,x
10/5/2023,PS1,30,,x,x
10/5/2023,PS2,52,,x,x
10/5/2023,PS3,41,,x,x
10/6/2023,CP2,36,,x,x
10/6/2023,CP3,23,,x,x
10/6/2023,CP4,21,,x,x
10/6/2023,CP5,36,,x,x
10/6/2023,CP7,37,,x,x
